epoch,train_acc,val_acc,train_loss,val_loss
0,0.34,0.3689,1.3604,1.0906
1,0.3444,0.3817,1.3453,1.0881
2,0.3452,0.3786,1.3251,1.0893
3,0.3459,0.3908,1.3153,1.0849
4,0.3508,0.3927,1.3054,1.0862
5,0.3518,0.3931,1.2788,1.0868
6,0.3592,0.3811,1.2734,1.0895
7,0.3675,0.3946,1.2555,1.0898
8,0.3633,0.3988,1.2374,1.0818
9,0.3659,0.4005,1.233,1.0829
10,0.3735,0.3908,1.213,1.0867
11,0.3762,0.3969,1.1902,1.0782
12,0.3783,0.3931,1.1803,1.0823
13,0.3773,0.444,1.1673,1.0829
14,0.3841,0.4024,1.1492,1.0864
15,0.3901,0.3891,1.1377,1.0842
16,0.3851,0.3913,1.1197,1.0806
17,0.3919,0.3941,1.1077,1.0799
18,0.3892,0.3824,1.0958,1.0798
19,0.3948,0.3822,1.0723,1.0846
